USERNAME,PASSWORD,DOD_ID,RANK,DUTY_EMAIL,DUTY_PHONE,PAS_CODE,PAS_CODE_ID,CPTS,CPTS_FIELD_VALUE,MAJCOM_FIELD_VALUE,IS_CREATED_SELF,CAT,SUBCAT,OAC,OBAN,MODE_OF_INQUIRY
acc.dfas.1,Idea%24123,9846565165,AB,acc.dfas.1@,9.88E+15,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,Advance Leave, , ,
acc.majcom.1,Idea%24123,3492374278,Amn,acc.majcom.1@,8889997731,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,AF 3821, , ,
acc.majcom.2,Idea%24123,3492374277,A1C,acc.majcom.2@,4456672198,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,Annual Leave, , ,
acc.majcom.3,Idea%24123,3492374276,SrA,acc.majcom.3@,7894566128,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,ATAAPS Access Request, , ,
acc.manager.1,Idea%24123,8908908908,SSgt,acc.manager.1@,9284445876,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,DD577, , ,
acc.manager.2,Idea%24123,8908908907,TSgt,acc.manager.2@,9284445875,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,Debt, , ,
acc.manager.3,Idea%24123,8908908906,MSgt,acc.manager.3@,9284445874,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,DFAS Remedy, , ,
acc.saffmf.1,Idea%24123,8908908905,SMSgt,acc.saffmf.1@,9284445873,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,Direct Deposit, , ,
acc.saffmf.2,Idea%24123,8908908904,CMSgt,acc.saffmf.2@,9284445872,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,DISA ATAAPS, , ,
acc.saffmf.3,Idea%24123,8908908903,CMSAF,acc.saffmf.3@,9284445871,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,DMAP TAA, , ,
Acc.supervisor.1,Idea%24123,8908908902,2d Lt,Acc.supervisor.1@,9284445870,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,Donated Leave, , ,
Acc.supervisor.2,Idea%24123,8908908901,1st Lt,Acc.supervisor.2@,9284445869,HH4GFR2G,38444,,502 CPTS,AETC,Self,Civilian Pay,JOCAS Access Request, , ,
acc.supervisor.3,Idea%24123,8908908900,Capt,acc.supervisor.3@,9284445868,HH4GFR2G,38444,,502 CPTS,AETC,Self,Military Pay,Accession, , ,
acc.tech.1,Idea%24123,8908908899,Maj,acc.tech.1@,9284445867,HH4GFR2G,38444,,502 CPTS,AETC,Self,Military Pay,Allotments, , ,
acc.tech.2,Idea%24123,8908908898,Lt Col,acc.tech.2@,9284445866,HH4GFR2G,38444,,502 CPTS,AETC,Self,Military Pay,Basic Allowance for Housing (BAH)- Adoption, , ,
acc.tech.3,Idea%24123,8908908897,Col,acc.tech.3@,9284445865,HH4GFR2G,38444,,502 CPTS,AETC,Self,Military Pay,Basic Allowance for Housing (BAH)- Birth of Child, , ,
